haskell-onetuple 0.3.1-14
haskell-only 0.1-22
haskell-open-browser 0.2.1.0-28
haskell-opentelemetry 0.7.0-52
haskell-optparse-applicative 0.16.1.0-226
haskell-optparse-generic 1.4.7-26
haskell-optparse-simple 0.1.1.4-119
haskell-ormolu 0.2.0.0-65
haskell-pandoc-lua-marshal 0.1.5.1-5
haskell-pandoc-types 1.22.2-3
haskell-pantry 0.5.4-11
haskell-parallel 3.2.2.0-17
haskell-parser-combinators 1.3.0-4
haskell-parsers 0.12.10-221
haskell-path 0.9.2-30
haskell-path-io 1.7.0-3
haskell-path-pieces 0.2.1-30
haskell-pem 0.2.4-222
haskell-persistent 2.13.3.0-2
haskell-persistent-sqlite 2.13.0.3-134
haskell-polyparse 1.13-11
haskell-pretty-show 1.10-13
haskell-pretty-simple 4.1.0.0-3
haskell-prettyprinter 1.7.1-44
haskell-prettyprinter-ansi-terminal 1.1.3-46
haskell-primes 0.2.1.0-23
haskell-primitive 0.7.3.0-40
haskell-profunctors 5.6.2-79
haskell-project-template 0.2.1.0-198
haskell-psqueues 0.2.7.3-21
haskell-quickcheck 2.14.2-298
haskell-random 1.2.1-86
haskell-random-shuffle 0.0.4-119
haskell-refact 0.3.0.2-25
haskell-reflection 2.1.6-135
haskell-regex-applicative 0.3.4-132
haskell-regex-applicative-text 0.1.0.1-152
haskell-regex-base 0.94.0.2-2
haskell-regex-posix 0.96.0.1-3
haskell-regex-tdfa 1.3.1.2-12
haskell-resolv 0.1.2.0-140
haskell-resource-pool 0.2.3.2-235
haskell-resourcet 1.2.4.3-41
haskell-retrie 1.1.0.0-31
haskell-retry 0.9.2.0-10
haskell-rio 0.1.21.0-53
haskell-rio-orphans 0.1.2.0-125
haskell-rio-prettyprint 0.1.1.0-199
haskell-rope-utf16-splay 0.3.2.0-76
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.2-44
haskell-scientific 0.3.7.0-52
haskell-semigroupoids 5.3.7-23
haskell-sha 1.6.4.4-19
haskell-shake 0.19.5-130
haskell-shelly 1.10.0-4
haskell-silently 1.2.5.2-2
haskell-skylighting 0.12.3-4
haskell-skylighting-core 0.12.3-4
haskell-socks 0.6.1-169
haskell-some 1.0.3-4
haskell-sorted-list 0.2.1.0-9
haskell-split 0.2.3.4-184
haskell-splitmix 0.1.0.4-54
haskell-sqlite-simple 0.4.18.0-87
haskell-src-exts 1.23.1-141
haskell-statevar 1.2.2-2
haskell-stm-chans 3.0.0.6-2
haskell-streaming-commons 0.2.2.4-12
haskell-strict 0.4.0.1-108
haskell-syb 0.7.2.1-127
haskell-system-filepath 0.4.14-187
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-165
haskell-tar 0.5.1.1-111
haskell-tar-conduit 0.3.2-286
haskell-temporary 1.3-389
haskell-terminal-size 0.3.3-1
haskell-texmath 0.12.5-3
haskell-text-conversions 0.3.1-122
haskell-text-icu 0.8.0.1-10
haskell-text-metrics 0.3.2-21
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-36
haskell-th-expand-syns 0.4.9.0-23
haskell-th-extras 0.0.0.6-13
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-25
haskell-th-reify-many 0.1.10-39
haskell-these 1.1.1.1-135
haskell-time-compat 1.9.6.1-36
haskell-tls 1.5.7-22
haskell-transformers-base 0.4.6-41
haskell-transformers-compat 0.7.1-2
haskell-type-equality 1-12
haskell-typed-process 0.2.8.0-25
haskell-unicode-collation 0.1.3.1-35
haskell-unicode-data 0.3.0-6
haskell-unicode-transforms 0.4.0.1-4
haskell-uniplate 1.6.13-114
haskell-unix-compat 0.5.4-1
haskell-unix-time 0.4.7-168
haskell-unliftio 0.2.21.0-12
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.18.0-2
haskell-utf8-string 1.0.2-89
haskell-uuid 1.3.15-63
haskell-uuid-types 1.0.5-56
haskell-vault 0.3.1.5-77
haskell-vector 0.12.3.1-75
haskell-vector-algorithms 0.8.0.4-104
haskell-void 0.7.3-142
haskell-x509 1.7.6-12
haskell-x509-store 1.6.9-19
haskell-x509-system 1.6.7-22
haskell-x509-validation 1.6.12-24
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-97
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-15
haskell-zip-archive 0.4.2.1-8
haskell-zlib 0.6.2.3-72
hdf5 1.12.1-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
hlint 3.3.6-1
hplip 1:3.22.2-2
